name,category,brand,origin,caliber,capacity,action,price,description
Glock 19 Gen 5,Pistol,Glock,USA,9mm,15 rds,Semi Auto,420000.0,Brand: Glock | Origin: USA | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Glock 19X,Pistol,Glock,USA,9mm,18 rds,Semi Auto,500000.0,Brand: Glock | Origin: USA | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Glock 26 Gen 5,Pistol,Glock,USA,9mm,10 rds,Semi Auto,490000.0,Brand: Glock | Origin: USA | Caliber: 9mm | Capacity: 10 rds | Action: Semi Auto
Glock 45 Gen 5,Pistol,Glock,USA,9mm,17 rds,Semi Auto,480000.0,Brand: Glock | Origin: USA | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Glock 43X Gen 5,Pistol,Glock,USA,9mm,10 rds,Semi Auto,485000.0,Brand: Glock | Origin: USA | Caliber: 9mm | Capacity: 10 rds | Action: Semi Auto
Glock 34 Gen 5,Pistol,Glock,USA,9mm,15 rds,Semi Auto,390000.0,Brand: Glock | Origin: USA | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Glock 17 Gen 5,Pistol,Glock,USA,9mm,17 rds,Semi Auto,390000.0,Brand: Glock | Origin: USA | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Glock 19 Gen 5,Pistol,Glock,Austria,9mm,15 rds,Semi Auto,500000.0,Brand: Glock | Origin: Austria | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Glock 19X,Pistol,Glock,Austria,9mm,18 rds,Semi Auto,550000.0,Brand: Glock | Origin: Austria | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Glock 17 Gen 5,Pistol,Glock,Austria,9mm,17 rds,Semi Auto,500000.0,Brand: Glock | Origin: Austria | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Glock 26 Gen 5,Pistol,Glock,Austria,9mm,10 rds,Semi Auto,520000.0,Brand: Glock | Origin: Austria | Caliber: 9mm | Capacity: 10 rds | Action: Semi Auto
Glock 45 Gen 5,Pistol,Glock,Austria,9mm,17 rds,Semi Auto,550000.0,Brand: Glock | Origin: Austria | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Glock 43X Gen 5,Pistol,Glock,Austria,9mm,10 rds,Semi Auto,520000.0,Brand: Glock | Origin: Austria | Caliber: 9mm | Capacity: 10 rds | Action: Semi Auto
Glock 34 Gen 5,Pistol,Glock,Austria,9mm,17 rds,Semi Auto,550000.0,Brand: Glock | Origin: Austria | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Ruger 5.7,Pistol,Ruger,USA,5.7x28mm,20 rds,Semi Auto,600000.0,Brand: Ruger | Origin: USA | Caliber: 5.7x28mm | Capacity: 20 rds | Action: Semi Auto
Sig Sauer P320 M18,Pistol,SIG Sauer,USA,9mm,15 rds,Semi Auto,650000.0,Brand: SIG Sauer | Origin: USA | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Taurus G3,Pistol,Taurus,Brazil,9mm,18 rds,Semi Auto,180000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Taurus G3C,Pistol,Taurus,Brazil,9mm,12 rds,Semi Auto,175000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 12 rds | Action: Semi Auto
Taurus G3 Tactical,Pistol,Taurus,Brazil,9mm,18 rds,Semi Auto,210000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Taurus GX4,Pistol,Taurus,Brazil,9mm,12 rds,Semi Auto,190000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 12 rds | Action: Semi Auto
Taurus GX4 XL,Pistol,Taurus,Brazil,9mm,13 rds,Semi Auto,230000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 13 rds | Action: Semi Auto
Taurus PT92 AFS Black,Pistol,Taurus,Brazil,9mm,17 rds,Semi Auto,250000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Taurus PT92 AFS Silver,Pistol,Taurus,Brazil,9mm,18 rds,Semi Auto,260000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Taurus PT92 AFS Special Edition,Pistol,Taurus,Brazil,9mm,18 rds,Semi Auto,265000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
